souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;bot;8;1;SP;bot.8;-0,462610205;0,029649318;-0,406;rur
PYCLEU3;PARUS82;PARUS73;;;adulte;bot;5;2;SP;bot.5;-0,583028409;-0,029698391;-0,406;rur
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;bot;5;1;ACA;bot.5;-0,583028409;-0,029698391;-0,406;rur
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;bot;8;2;ACA;bot.8;-0,462610205;0,029649318;-0,406;rur
PARUS74;PARUS72;;;;adulte;bot;2;2;AC;bot.2;0,007668546;1,232268291;-0,406;rur
PARUS4;PARUS18;;;;adulte;bot;2;1;AC;bot.2;0,007668546;1,232268291;-0,406;rur
SYBOR22;PARUS72;AFR215;;;adulte;bot;4;2;AC;bot.4;-1,398308339;-0,225169181;-0,406;rur
SYBOR22;PARUS77;PARUS72;AFR215;;adulte;cef;2;2;SP;cef.2;0,376577158;0,6391131;0,458;urb
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;cef;2;1;ACA;cef.2;0,376577158;0,6391131;0,458;urb
PARUS74;PARUS72;;;;adulte;cef;8;1;ACA;cef.8;0,323858255;0,66915479;0,458;rur
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;cef;8;2;ACA;cef.8;0,323858255;0,66915479;0,458;rur
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;fac;2;1;CV;fac.2;0,088590485;0,389729208;-0,75;rur
PARUS34;PARUS28;PARUS16;;;adulte;fac;2;2;ACA;fac.2;0,088590485;0,389729208;-0,75;rur
SFC7;PARUS74;PARUS72;;;adulte;fac;6;1;AC;fac.6;-2,278183533;-1,356337435;-0,75;rur
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;fac;6;2;AC;fac.6;-2,278183533;-1,356337435;-0,75;rur
PARUS4;PARUS18;;;;adulte;fac;8;1;AC;fac.8;-0,62852441;-0,178164759;-0,75;rur
PARUS74;PARUS72;;;;adulte;fac;8;2;AC;fac.8;-0,62852441;-0,178164759;-0,75;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;fac;13;1;AC;fac.13;-0,912827488;-0,233972559;-0,75;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;fac;13;2;AC;fac.13;-0,912827488;-0,233972559;-0,75;urb
PARUS70;CYACAE02;;;;adulte;fac;17;2;AC;fac.17;-0,851252546;-0,382497208;-0,75;urb
negatif;;;;;adulte;fac;17;1;AC;fac.17;-0,851252546;-0,382497208;-0,75;urb
PARUS74;PARUS72;;;;adulte;fac;22;2;AC;fac.22;-1,678895153;-0,985447744;-0,75;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;fac;22;1;AC;fac.22;-1,678895153;-0,985447744;-0,75;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;fac;10;1;ACA;fac.10;-2,085784687;-1,420398266;-0,75;urb
PARUS70;CYACAE02;;;;adulte;fac;10;2;ACA;fac.10;-2,085784687;-1,420398266;-0,75;urb
PARUS70;;;;;adulte;fac;23;1;SP;fac.23;-1,678895153;-0,985447744;-0,75;urb
PARUS74;;;;;adulte;fac;3;2;SP;fac.3;-0,290939859;0,286283696;-0,75;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;fac;3;1;SP;fac.3;-0,290939859;0,286283696;-0,75;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;fac;19;2;ACA;fac.19;-0,434718099;0,042237211;-0,75;urb
negatif;;;;;adulte;fac;19;1;SP;fac.19;-0,434718099;0,042237211;-0,75;urb
SYCON05;SYBOR33;SYBOR27;SYBOR22;SYBOR08;adulte;fac;9;1;SP;fac.9;-0,042566621;0,38377491;-0,75;urb
PARUS4;PARUS18;;;;adulte;cef;10;1;VD;cef.10;0,234138053;0,632622473;0,458;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;cef;1;1;SP;cef.1;0,208535722;0,551905275;0,458;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;cef;1;2;AC;cef.1;0,208535722;0,551905275;0,458;urb
SYBOR22;PARUS72;AFR215;SYCON05;SYBOR33;adulte;cef;8;2;AC;cef.8;0,323858255;0,66915479;0,458;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;bot;5;1;SP;bot.5;-0,583028409;-0,029698391;-0,406;rur
negatif;;;;;adulte;bot;3;1;SP;bot.3;-0,244947708;0,239124134;-0,406;rur
inexploitable;;;;;adulte;bot;3;2;SP;bot.3;-0,244947708;0,239124134;-0,406;urb
PARUS82;PARUS77;PARUS73;PARUS4;PARUS18;adulte;bot;7;1;SP;bot.7;0,244769031;0,82676323;-0,406;urb
negatif;;;;;adulte;zoo;51;2;AC;zoo.51;0,425595613;1,614669752;0,687;urb
inexploitable;;;;;adulte;mos;12;1;VD;mos.12;-0,78140826;-0,389133823;-0,865;urb
negatif;;;;;adulte;zoo;67;2;AG;zoo.67;1,063761577;1,458200562;0,687;rur
negatif;;;;;adulte;gram;20;1;AC;gram.20;1,013140198;1,544338628;0,254;urb
negatif;;;;;adulte;gram;20;2;AC;gram.20;1,013140198;1,544338628;0,254;urb
negatif;;;;;adulte;gram;19;2;VD;gram.19;0,525012117;0,923329204;0,254;rur
negatif;;;;;adulte;zoo;38;2;VD;zoo.38;-0,519121701;-0,200041293;0,687;rur
negatif;;;;;adulte;zoo;38;1;VD;zoo.38;-0,519121701;-0,200041293;0,687;rur
negatif;;;;;adulte;gram;45;2;VD;gram.45;0,888160128;1,228708365;0,254;rur
negatif;;;;;adulte;gram;45;1;VD;gram.45;0,888160128;1,228708365;0,254;urb
inexploitable;;;;;adulte;bot;7;2;SP;bot.7;0.244769031;0.82676323;-0,406;urb
