souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
PARUS74;PARUS72;;;;adulte;gram;17;2;AC;gram.17;1,075454764;1,442535347;0,254;urb
SYBOR22;PARUS74;PARUS72;AFR215;;adulte;gram;36;2;AC;gram.36;-0,059283988;0,271362813;0,254;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;gram;36;1;AC;gram.36;-0,059283988;0,271362813;0,254;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;gram;41;1;AC;gram.41;-0,322872282;0,017964803;0,254;urb
inexploitable;;;;;adulte;rou;54;1;AC;rou.54;1,239065949;0;1,221;urb
inexploitable;;;;;adulte;rou;54;2;AC;rou.54;1,239065949;0;1,221;urb
negatif;negatif;negatif;negatif;negatif;adulte;rou;56;2;AC;rou.56;1,239065949;0;1,221;urb
SYBOR22;PARUS74;;AFR215;;adulte;rou;56;1;AC;rou.56;1,239065949;0;1,221;urb
inexploitable;;;;;adulte;rou;8;1;AC;rou.8;1,239068144;0;1,221;urb
PARUS4;;;;;adulte;rou;8;2;AC;rou.8;1,239068144;0;1,221;urb
PARUS16;;;;;adulte;rou;4;1;AC;rou.4;1,239063753;0;1,221;urb
PARUS74;PARUS72;;;;adulte;rou;4;2;AC;rou.4;1,239063753;0;1,221;urb
negatif;negatif;negatif;negatif;negatif;adulte;rou;28;2;AC;rou.28;1,239068144;0;1,221;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;rou;222;1;AC;rou.222;1,239076926;0;1,221;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;rou;222;2;AC;rou.222;1,239076926;0;1,221;urb
PARUS74;;;;;adulte;rou;96;2;AC;rou.96;1,239083513;0;1,221;urb
PARUS4;;;;;adulte;rou;46;2;AFA;rou.46;1,239065949;0;1,221;urb
PYCGPI03;PARUS77;PARUS4;PARUS18;;adulte;mos;16;2;VD;mos.16;0,916108673;1,174611307;-0,865;urb
inexploitable;;;;;adulte;font;13;1;AG;font.13;-1,249326421;-0,875764243;-0,854;urb
inexploitable;;;;;adulte;rou;344;1;AC;rou.344;1,239083513;0;1,221;urb
PARUS4;;;;;adulte;rou;344;2;AC;rou.344;1,239083513;0;1,221;urb
inexploitable;;;;;adulte;rou;62;1;AC;rou.62;1,239059362;0;1,221;urb
inexploitable;;;;;adulte;rou;62;2;AC;rou.62;1,239059362;0;1,221;urb
inexploitable;;;;;adulte;rou;330;1;AC;rou.330;1,068850578;0;1,221;urb
inexploitable;;;;;adulte;rou;330;2;AC;rou.330;1,068850578;0;1,221;urb
inexploitable;;;;;adulte;rou;332;2;AC;rou.332;1,112128465;0;1,221;urb
inexploitable;;;;;adulte;zoo;19;2;AG;zoo.19;1,048416965;1,388299929;0,687;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;zoo;19;1;AG;zoo.19;1,048416965;1,388299929;0,687;urb
SYBOR22;SPISEN05;PYCGPI03;PARUS82;PARUS77;adulte;zoo;62;1;AG;zoo.62;1,010909474;1,352151002;0,687;urb
SYCON05;SYBOR33;SYBOR22;SYBOR06;PYCGPI03;adulte;zoo;62;2;AG;zoo.62;1,010909474;1,352151002;0,687;urb
PARUS72;HIRUS11;CINSOV02;ANLAT10;;adulte;zoo;67;1;AG;zoo.67;1,063761577;1,458200562;0,687;rur
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mas;4;1;AG;mas.4;-2,208400563;-1,796576662;-2,383;rur
inexploitable;;;;;adulte;mas;4;2;AG;mas.4;-2,208400563;-1,796576662;-2,383;rur
inexploitable;;;;;adulte;mas;5;1;AG;mas.5;-1,919491187;-1,506816606;-2,383;rur
inexploitable;;;;;adulte;mas;21;1;AG;mas.21;-2,467358094;-1,956325425;-2,383;urb
negatif;negatif;negatif;negatif;negatif;adulte;mas;21;2;AG;mas.21;-2,467358094;-1,956325425;-2,383;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;font;9;2;AG;font.9;0,775380895;1,03446773;-0,854;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;gram;50;1;SC;gram.50;0,532149162;0,792245722;0,254;urb
