Row,LocationID,NestboxID,LocationType,PopID,Latitude,Longitude,StartSeason,EndSeason,HabitatType,Warning,Error,PopNestboxID
4147,font_32_NB,font_32_NB,NB,font,43.593847,3.839524,2014,NA,urban,NA,NA,MON font_32_NB
4148,font_4_NB,font_4_NB,NB,font,43.597721,3.829076,2012,NA,urban,NA,NA,MON font_4_NB
4149,font_5_NB,font_5_NB,NB,font,43.598555,3.82977,2012,NA,urban,NA,NA,MON font_5_NB
4150,font_7_NB,font_7_NB,NB,font,43.59758,3.831574,2011,NA,urban,NA,NA,MON font_7_NB
4151,font_8_NB,font_8_NB,NB,font,43.598177,3.832004,2017,NA,urban,NA,NA,MON font_8_NB
4152,font_9_NB,font_9_NB,NB,font,43.598459,3.830894,2012,NA,urban,NA,NA,MON font_9_NB
4213,gram_10_NB,gram_10_NB,NB,gram,43.61857,3.929584,2011,NA,urban,NA,NA,MON gram_10_NB
4214,gram_11_NB,gram_11_NB,NB,gram,43.618241,3.929744,2011,NA,urban,NA,NA,MON gram_11_NB
4215,gram_14_NB,gram_14_NB,NB,gram,43.618116,3.9265,2011,NA,urban,NA,NA,MON gram_14_NB
4216,gram_16_NB,gram_16_NB,NB,gram,43.617256,3.925085,2015,NA,urban,NA,NA,MON gram_16_NB
4217,gram_17_NB,gram_17_NB,NB,gram,43.617354,3.926601,2011,NA,urban,NA,NA,MON gram_17_NB
4218,gram_19_NB,gram_19_NB,NB,gram,43.617479,3.928251,2011,NA,urban,NA,NA,MON gram_19_NB
4219,gram_2_NB,gram_2_NB,NB,gram,43.619687,3.928434,2011,NA,urban,NA,NA,MON gram_2_NB
4220,gram_20_NB,gram_20_NB,NB,gram,43.61685,3.927549,2011,NA,urban,NA,NA,MON gram_20_NB
4221,gram_25_NB,gram_25_NB,NB,gram,43.615938,3.926045,2018,NA,urban,NA,NA,MON gram_25_NB
4222,gram_30_NB,gram_30_NB,NB,gram,43.614664,3.929237,2011,NA,urban,NA,NA,MON gram_30_NB
4223,gram_31_NB,gram_31_NB,NB,gram,43.614847,3.930094,2012,NA,urban,NA,NA,MON gram_31_NB
4224,gram_33_NB,gram_33_NB,NB,gram,43.616054,3.92996,2012,NA,urban,NA,NA,MON gram_33_NB
4225,gram_35_NB,gram_35_NB,NB,gram,43.617276,3.930183,2013,NA,urban,NA,NA,MON gram_35_NB
4226,gram_36_NB,gram_36_NB,NB,gram,43.617387,3.930882,2011,NA,urban,NA,NA,MON gram_36_NB
4227,gram_37_NB,gram_37_NB,NB,gram,43.6169,3.931409,2016,NA,urban,NA,NA,MON gram_37_NB
4228,gram_38_NB,gram_38_NB,NB,gram,43.615958,3.931265,2011,NA,urban,NA,NA,MON gram_38_NB
4229,gram_39_NB,gram_39_NB,NB,gram,43.615155,3.931266,2011,NA,urban,NA,NA,MON gram_39_NB
4230,gram_40_NB,gram_40_NB,NB,gram,43.615362,3.932741,2011,NA,urban,NA,NA,MON gram_40_NB
4231,gram_41_NB,gram_41_NB,NB,gram,43.615283,3.933905,2011,NA,urban,NA,NA,MON gram_41_NB
4232,gram_42_NB,gram_42_NB,NB,gram,43.615359,3.935106,2013,NA,urban,NA,NA,MON gram_42_NB
4233,gram_44_NB,gram_44_NB,NB,gram,43.61559,3.938096,2011,NA,urban,NA,NA,MON gram_44_NB
4234,gram_45_NB,gram_45_NB,NB,gram,43.616041,3.93869,2011,NA,urban,NA,NA,MON gram_45_NB
4235,gram_47_NB,gram_47_NB,NB,gram,43.616264,3.937322,2015,NA,urban,NA,NA,MON gram_47_NB
4236,gram_49_NB,gram_49_NB,NB,gram,43.616108,3.934845,2011,NA,urban,NA,NA,MON gram_49_NB
4237,gram_5_NB,gram_5_NB,NB,gram,43.619275,3.925384,2011,NA,urban,NA,NA,MON gram_5_NB
4238,gram_50_NB,gram_50_NB,NB,gram,43.616881,3.935019,2011,NA,urban,NA,NA,MON gram_50_NB
4239,gram_52_NB,gram_52_NB,NB,gram,43.6187,3.93531,2011,NA,urban,NA,NA,MON gram_52_NB
4240,gram_53_NB,gram_53_NB,NB,gram,43.618509,3.936176,2017,NA,urban,NA,NA,MON gram_53_NB
4241,gram_54_NB,gram_54_NB,NB,gram,43.618288,3.937164,2012,NA,urban,NA,NA,MON gram_54_NB
4242,gram_56_NB,gram_56_NB,NB,gram,43.617481,3.938177,2011,NA,urban,NA,NA,MON gram_56_NB
4243,gram_57_NB,gram_57_NB,NB,gram,43.617252,3.937321,2011,NA,urban,NA,NA,MON gram_57_NB
4244,gram_58_NB,gram_58_NB,NB,gram,43.616677,3.93623,2011,NA,urban,NA,NA,MON gram_58_NB
4245,gram_61_NB,gram_61_NB,NB,gram,43.618049,3.934651,2013,NA,urban,NA,NA,MON gram_61_NB
4246,gram_8_NB,gram_8_NB,NB,gram,43.618937,3.927156,2011,NA,urban,NA,NA,MON gram_8_NB
4247,gram_9_NB,gram_9_NB,NB,gram,43.619033,3.928254,2011,NA,urban,NA,NA,MON gram_9_NB
4292,mas_10_NB,mas_10_NB,NB,mas,43.58451,3.859284,2012,NA,urban,NA,NA,MON mas_10_NB
4293,mas_12_NB,mas_12_NB,NB,mas,43.581067,3.86534,2012,NA,urban,NA,NA,MON mas_12_NB
4294,mas_13_NB,mas_13_NB,NB,mas,43.580371,3.867215,2012,NA,urban,NA,NA,MON mas_13_NB
4295,mas_14_NB,mas_14_NB,NB,mas,43.578838,3.865166,2012,NA,urban,NA,NA,MON mas_14_NB
4296,mas_15_NB,mas_15_NB,NB,mas,43.578478,3.866582,2014,NA,urban,NA,NA,MON mas_15_NB
4297,mas_17_NB,mas_17_NB,NB,mas,43.575838,3.867847,2011,NA,urban,NA,NA,MON mas_17_NB
4298,mas_19_NB,mas_19_NB,NB,mas,43.577482,3.868557,2011,NA,urban,NA,NA,MON mas_19_NB
4299,mas_2_NB,mas_2_NB,NB,mas,43.587452,3.853505,2014,NA,urban,NA,NA,MON mas_2_NB
4300,mas_20_NB,mas_20_NB,NB,mas,43.579233,3.869089,2012,NA,urban,NA,NA,MON mas_20_NB
4301,mas_21_NB,mas_21_NB,NB,mas,43.582719,3.864412,2011,NA,urban,NA,NA,MON mas_21_NB
4302,mas_23_NB,mas_23_NB,NB,mas,43.58372,3.866666,2011,NA,urban,NA,NA,MON mas_23_NB
4303,mas_24_NB,mas_24_NB,NB,mas,43.582021,3.868263,2013,NA,urban,NA,NA,MON mas_24_NB
4305,mas_26_NB,mas_26_NB,NB,mas,43.580605,3.86921,2013,NA,urban,NA,NA,MON mas_26_NB
4306,mas_28_NB,mas_28_NB,NB,mas,43.585431,3.860723,2011,NA,urban,NA,NA,MON mas_28_NB
4307,mas_30_NB,mas_30_NB,NB,mas,43.588554,3.861235,2011,NA,urban,NA,NA,MON mas_30_NB
4308,mas_31_NB,mas_31_NB,NB,mas,43.589132,3.862001,2011,NA,urban,NA,NA,MON mas_31_NB
4309,mas_32_NB,mas_32_NB,NB,mas,43.589829,3.862701,2011,NA,urban,NA,NA,MON mas_32_NB
4310,mas_34_NB,mas_34_NB,NB,mas,43.590872,3.862527,2011,NA,urban,NA,NA,MON mas_34_NB
4311,mas_37_NB,mas_37_NB,NB,mas,43.587894,3.866567,2011,NA,urban,NA,NA,MON mas_37_NB
4312,mas_38_NB,mas_38_NB,NB,mas,43.587445,3.867898,2012,NA,urban,NA,NA,MON mas_38_NB
4313,mas_4_NB,mas_4_NB,NB,mas,43.587555,3.854595,2014,NA,urban,NA,NA,MON mas_4_NB
4314,mas_40_NB,mas_40_NB,NB,mas,43.58721,3.862887,2011,NA,urban,NA,NA,MON mas_40_NB
4315,mas_41_NB,mas_41_NB,NB,mas,43.587151,3.863757,2012,NA,urban,NA,NA,MON mas_41_NB
4316,mas_42_NB,mas_42_NB,NB,mas,43.586809,3.864003,2012,NA,urban,NA,NA,MON mas_42_NB
4317,mas_43_NB,mas_43_NB,NB,mas,43.587721,3.862471,2012,NA,urban,NA,NA,MON mas_43_NB
4318,mas_5_NB,mas_5_NB,NB,mas,43.586341,3.855509,2011,NA,urban,NA,NA,MON mas_5_NB
4319,mas_6_NB,mas_6_NB,NB,mas,43.585557,3.855753,2013,NA,urban,NA,NA,MON mas_6_NB
4320,mas_7_NB,mas_7_NB,NB,mas,43.584518,3.856106,2013,NA,urban,NA,NA,MON mas_7_NB
4321,mas_8_NB,mas_8_NB,NB,mas,43.584756,3.857245,2011,NA,urban,NA,NA,MON mas_8_NB
4385,mos_12_NB,mos_12_NB,NB,mos,43.638739,3.814999,2011,NA,urban,NA,NA,MON mos_12_NB
4386,mos_16_NB,mos_16_NB,NB,mos,43.639806,3.80935,2011,NA,urban,NA,NA,MON mos_16_NB
4387,mos_17_NB,mos_17_NB,NB,mos,43.63882,3.811675,2012,NA,urban,NA,NA,MON mos_17_NB
4388,mos_18_NB,mos_18_NB,NB,mos,43.638467,3.812412,2012,NA,urban,NA,NA,MON mos_18_NB
4389,mos_19_NB,mos_19_NB,NB,mos,43.636599,3.812805,2014,NA,urban,NA,NA,MON mos_19_NB
4390,mos_2_NB,mos_2_NB,NB,mos,43.637969,3.817108,2011,NA,urban,NA,NA,MON mos_2_NB
4391,mos_22_NB,mos_22_NB,NB,mos,NA,NA,2012,NA,urban,NA,NA,MON mos_22_NB
4392,mos_23_NB,mos_23_NB,NB,mos,43.635061,3.809282,2011,NA,urban,NA,NA,MON mos_23_NB
4393,mos_24_NB,mos_24_NB,NB,mos,43.636374,3.814054,2012,NA,urban,NA,NA,MON mos_24_NB
4394,mos_27_NB,mos_27_NB,NB,mos,NA,NA,2011,NA,urban,NA,NA,MON mos_27_NB
4395,mos_28_NB,mos_28_NB,NB,mos,NA,NA,2011,NA,urban,NA,NA,MON mos_28_NB
4396,mos_29_NB,mos_29_NB,NB,mos,43.629445,3.816156,2012,NA,urban,NA,NA,MON mos_29_NB
4397,mos_3_NB,mos_3_NB,NB,mos,43.639001,3.817598,2012,NA,urban,NA,NA,MON mos_3_NB
4398,mos_30_NB,mos_30_NB,NB,mos,43.630636,3.818717,2011,NA,urban,NA,NA,MON mos_30_NB
4399,mos_38_NB,mos_38_NB,NB,mos,43.637676,3.814834,2014,NA,urban,NA,NA,MON mos_38_NB
4400,mos_41_NB,mos_41_NB,NB,mos,NA,NA,2013,NA,urban,NA,NA,MON mos_41_NB
